schema_version,experiment_id,run_id,sample_id,flow_id,artifact_flow_id,repeat_id,benchmark_name,record_type,counterexample_id,candidate_index,campaign_index,example_index,input_path,input_hash,input_valid,minimized_input_path,divergence_type,replay_count,replay_success_count,reproducible,used_for_repair,reference_behavior,candidate_behavior,reference_stdout,candidate_stdout,reference_stderr,candidate_stderr,reference_exit_code,candidate_exit_code,reference_signal,candidate_signal,reference_timeout,candidate_timeout,behavior_match,provenance
2.0,experiment_20260821_120308,ce03d66da3bc18569352,p00001,B2,B2,0,s092364643,counterexample,912d065cd54fa47ef0aea965,1,1,1,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/912d065cd54fa47ef0aea965.bin,5be38f735712945f7707a5ed274b0e39a1f789cd7d0e2fc242d00e2877cf4521,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""MTY2ODgKMzc3NgoyODQ4Cg=="", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""ODc2IDkyMiAxNTkyIA=="", ""terminating_signal"": null, ""timeout_status"": false}",MTY2ODgKMzc3NgoyODQ4Cg==,ODc2IDkyMiAxNTkyIA==,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
2.0,experiment_20260821_120308,ce03d66da3bc18569352,p00001,B2,B2,0,s092364643,counterexample,8731948f17b4100bcd2c668b,1,1,2,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/8731948f17b4100bcd2c668b.bin,98885ad7a722d3220472cf7010a2a070a13a2f6d533a4154004302b1be9c8863,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""Nzg0ODE5CjM3NzYKMjg0OAo="", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""OTIyIDE1OTIgMTY3NCA="", ""terminating_signal"": null, ""timeout_status"": false}",Nzg0ODE5CjM3NzYKMjg0OAo=,OTIyIDE1OTIgMTY3NCA=,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
2.0,experiment_20260821_120308,ce03d66da3bc18569352,p00001,B2,B2,0,s092364643,counterexample,3e3dc56912738e4d4a86b399,1,1,3,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/3e3dc56912738e4d4a86b399.bin,8f1b5887f56867dac8f900862a02b9c4bfa80ac8f7bd87d502821e66221a932a,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""Mzc3NgoyODQ4CjI4NDAK"", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""ODc2IDkyMiAxNTkyIA=="", ""terminating_signal"": null, ""timeout_status"": false}",Mzc3NgoyODQ4CjI4NDAK,ODc2IDkyMiAxNTkyIA==,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
2.0,experiment_20260821_120308,ce03d66da3bc18569352,p00001,B2,B2,0,s092364643,counterexample,e27dd62c511add219724dbc9,1,1,4,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/e27dd62c511add219724dbc9.bin,58ce0163c6214045acfd78fd553583111f24297b26b5135367a0b7ee724f2d4c,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""Mzc3NgoyODQ4CjI4NDAK"", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""ODc2IDkyMiAxNTkyIA=="", ""terminating_signal"": null, ""timeout_status"": false}",Mzc3NgoyODQ4CjI4NDAK,ODc2IDkyMiAxNTkyIA==,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
2.0,experiment_20260821_120308,ce03d66da3bc18569352,p00001,B2,B2,0,s092364643,counterexample,866d0187e8affffc67fa10bf,1,1,5,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/866d0187e8affffc67fa10bf.bin,d88c57f669e8ef3636f5ce4d441740bdd1a59c5295f4e329f9c9b971de43a02b,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""Mzc3NgoyODQ4CjI4NDAK"", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""LTk5ODMyNiA4NzYgOTIyIA=="", ""terminating_signal"": null, ""timeout_status"": false}",Mzc3NgoyODQ4CjI4NDAK,LTk5ODMyNiA4NzYgOTIyIA==,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
2.0,experiment_20260821_120308,ce03d66da3bc18569352,p00001,B2,B2,0,s092364643,counterexample,a5ac0e2db986d730d3cf7098,1,1,6,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/a5ac0e2db986d730d3cf7098.bin,03ea3087a209e53a863496b91d09b1fb6717a9f2543b626a15d7ea8cd1b38e9a,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""Nzg0ODE5CjI4MDU1OAozNzc2Cg=="", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""OTIyIDE1OTIgMTY3NCA="", ""terminating_signal"": null, ""timeout_status"": false}",Nzg0ODE5CjI4MDU1OAozNzc2Cg==,OTIyIDE1OTIgMTY3NCA=,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
2.0,experiment_20260821_120308,ce03d66da3bc18569352,p00001,B2,B2,0,s092364643,counterexample,de3e9591907b71defea412ea,1,1,7,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/de3e9591907b71defea412ea.bin,d5dc03700a99e82119e2be6dfeef2b90029bb2fa5c89e9c6d7a872aa954ed00e,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""Mzc3NgoyODQ4CjI4NDAK"", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""ODc2IDkyMSAxNTkyIA=="", ""terminating_signal"": null, ""timeout_status"": false}",Mzc3NgoyODQ4CjI4NDAK,ODc2IDkyMSAxNTkyIA==,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
2.0,experiment_20260821_120308,5785bfd52304ba88a580,p00008,F3,F3,0,s771404612,counterexample,966f8765219c3d6a886ffd83,1,1,1,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/966f8765219c3d6a886ffd83.bin,c5a5ca4b75a2d65d31bb6f8544aad6662f985ee17e829fe92f49b1eaeb9da6d3,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""NAowCg=="", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""MjQ3Cg=="", ""terminating_signal"": null, ""timeout_status"": false}",NAowCg==,MjQ3Cg==,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
2.0,experiment_20260821_120308,5785bfd52304ba88a580,p00008,F3,F3,0,s771404612,counterexample,6b10f1bdd38b6f4ccffe3559,1,1,2,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/6b10f1bdd38b6f4ccffe3559.bin,054dbc11951a4c435e394ed1de8abe9739defbea78e34d93440abe8e343b9827,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""NAowCg=="", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""MjQ3Cg=="", ""terminating_signal"": null, ""timeout_status"": false}",NAowCg==,MjQ3Cg==,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
2.0,experiment_20260821_120308,5785bfd52304ba88a580,p00008,F3,F3,0,s771404612,counterexample,0630f10dab95bcd0a9016150,1,1,3,/home/dungbv/clau/reports/experiment_20260821_120308/counterexample_inputs/0630f10dab95bcd0a9016150.bin,5cc0efdbfc6bf3e9208a52ed10e3cb5edac3bb961635ac89b2af48d3463d3639,True,,OUTPUT_MISMATCH,2,2,True,False,"{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""NAo0Cg=="", ""terminating_signal"": null, ""timeout_status"": false}","{""exit_code"": 0, ""stderr_base64"": """", ""stdout_base64"": ""MjQxCg=="", ""terminating_signal"": null, ""timeout_status"": false}",NAo0Cg==,MjQxCg==,,,0,0,,,False,False,False,confirmed historical mismatch; replay count from implementation default
