experiment_id,sample_id,flow_id,repeat_id,status,candidate_accepted,readability_variables,readability_loops,readability_conditions,readability_logic_flow,readability_structure,readability_overall,readability_variables_rationale,readability_loops_rationale,readability_conditions_rationale,readability_logic_flow_rationale,readability_structure_rationale,readability_summary,readability_rubric_version,readability_source_sha256,readability_evaluated_at,readability_correctness_assessed,evaluator_id,evaluation_method,original_sloc,recovered_sloc,sloc_ratio
experiment_20260801_182616,p00001,F1,0,PASS,True,2,4,3,3,3,3.0,"Names like malloc_ret, malloc_ret1, malloc_ret3, native_pointer obscure roles despite simple scopes.",Simple for loops with clear bounds make iteration easy to follow.,"Null checks readable, but odd failure branch reduces clarity.","Mostly linear flow, but allocation-failure path contains confusing unrelated printing/freeing.","C organization coherent with small comparator and main, but raw sizes and allocation temporaries feel recovered.","Main intent readable, but artifact names, raw byte constants, strange error path lower readability.",source-readability-1-to-5-v1,59159ce0365cd811db1f534fbeb9f0eac89cacb9e03bd1443902683718a2c6c3,2026-08-03T11:06:37.657720+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00001,F2,0,PASS,True,2,4,4,4,3,3.4,"Names like malloc_ret, malloc_ret1, malloc_ret3, native_pointer_phi1 obscure roles despite limited scope.",Simple for loops with clear bounds make iteration easy to follow.,Predicates are ordinary NULL and scanf checks with little boolean noise.,"Straight-line allocation, copy, sort, print flow is readable with no goto noise.","Conventional main plus comparator structure, but raw byte sizes and artifact names reduce coherence.","Readable C structure, but decompiler-style variable names and magic sizes hurt clarity.",source-readability-1-to-5-v1,61d52429536edd89ada467b54b756d50253db0ef2d0991121e1672dda540d4eb,2026-08-03T11:06:54.700665+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00001,F3,0,PASS,True,4,5,5,5,4,4.6,"Names like arr1, arr2, arr3 are generic but roles stay scoped and understandable.",Two simple for loops use clear bounds and local index state.,Allocation checks use direct readable predicates with minimal boolean noise.,Control flow is linear with early returns and no goto or dispatcher artifacts.,Single coherent main plus comparator form conventional C organization.,Readable conventional C with generic array names but clear structure and flow.,source-readability-1-to-5-v1,09878343510aeced3b2a246d943adedfc0584621f8a9116debe31ce08a7a1b8a,2026-08-03T11:06:54.524590+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00001,F4,0,PASS,True,2,4,4,4,3,3.4,"Names like malloc_ret_i_i, malloc_ret3_i_i, native_pointer_phi1 obscure roles despite limited scope.",Simple bounded for loops make iteration counts clear.,Predicates are ordinary NULL and scanf checks with little low-level boolean noise.,"Straight-line allocation, input, sort, copy, print, free sequence is easy to follow.","C organization is coherent, but raw byte sizes, casts, generated names reduce human-written clarity.","Readable control flow, poor recovered variable naming, low-level allocation artifacts.",source-readability-1-to-5-v1,bfc5b84b8a19dee15a1e116b7ade55b76df85fc05cad7e3c3394aac49646f2c8,2026-08-03T11:06:54.341326+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00001,F5,0,PASS,True,3,5,4,4,4,4.0,"Names like arr, tmp, best convey partial roles, but sub_4011e0-style function names remain opaque.",Simple for loops use clear counters and bounds.,Predicates are direct NULL and scanf checks with little boolean noise.,Control flow is linear with early returns and no goto or dispatcher artifacts.,"Functions are coherent and C-like, though decompiler-style names reduce clarity.","Readable C structure with clear loops and flow, weakened mainly by opaque recovered function names.",source-readability-1-to-5-v1,3f77b39d68ed4fda77042ba8dbf0d3b45244d3d54d3fadbf7ff0e5b6454987e9,2026-08-03T11:06:54.606302+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00008,F1,0,PASS,True,1,2,2,2,2,1.8,"Names mostly compiler artifacts like v13, p_phi12_sroa, offset_phi3; roles opaque.",Nested while loops encode four digit ranges but state stored through pointer temporaries.,"Predicates contain casts, negations, obfuscation remnants like not2440_i; intent partly hidden.","Control flow has structured loops, but deep nesting plus frame offsets obscure path.","Single function, fake stack frame, pointer macros, raw offsets dominate organization.","Recognizable C, but recovered low-level artifacts heavily reduce readability.",source-readability-1-to-5-v1,64733ee755bb3e8cddb8cc52516cbac1af442c55e9e6705d50e56f44b7a0c97f,2026-08-03T11:06:54.666999+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00008,F2,0,PASS,True,2,4,3,4,4,3.4,"Many names remain artifact-like: v0, v14, deobf_slt1516_i, native_scalar_405024; only Element, count, array give roles.","Nested for loops and input while loop are recognizable, bounded, easy to trace despite numeric iterator names.","Core sum and scanf checks are readable, but initial boolean temporaries/casts add decompiler noise.","Control flow is structured with while/for/if and no gotos, though unused obfuscation prelude distracts.","Single coherent main, simple struct, standard C organization; stray __gmon_start__ and globals show recovery artifacts.","Readable main enumeration structure, weakened by meaningless temporaries, artifact globals, obfuscation residue.",source-readability-1-to-5-v1,5c98f3b22f38810a512560ea22bbdf5265904a7dec7256eec1d33068bc51753a,2026-08-03T11:06:55.203903+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00008,F3,0,PASS,True,4,4,4,4,4,4.0,"Variables mostly clear, though val0..val3 and arr are generic.","Nested digit loops are explicit, regular, easy to trace.",Predicates are direct arithmetic and field comparisons with little noise.,"Control flow is straightforward, with no goto or dispatcher artifacts.",Single function plus simple struct form coherent C organization.,Readable conventional C with minor generic naming and unnecessary storage complexity.,source-readability-1-to-5-v1,fad2915d83cb632c62308c32d091a087adb1ad03a6455d6d2cdce19a15509501,2026-08-03T11:06:53.423084+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00008,F4,0,PASS,True,1,2,2,2,2,1.8,"Names mostly artifact-style like v14, p_phi12, p_phi3_sel; roles hidden by pointer offsets.",Nested while(true) loops model iteration but state spread across stack-slot pointers.,Predicates include readable bounds checks but retain obfuscation artifacts like not2440_i and cast-heavy tests.,Control flow is structured C yet deeply nested with many temporaries and indirect state updates.,Single main function with raw frame_storage pointer arithmetic; no coherent data structures.,"Readable as recovered C, but dominated by low-level artifacts, synthetic variables, manual stack layout.",source-readability-1-to-5-v1,e65b52d7680d2d792e6ca85c2918e1b138dcf411d67df9ea458deaa4374feaff,2026-08-03T11:06:54.917524+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00033,F1,0,PASS,True,2,3,4,4,3,3.2,"Names like v10, v11, k, l, malloc_ptr obscure roles despite tight scopes.","Nested loops are conventional but dense, with repeated indices and 1024 mask iteration.",Predicates are mostly direct boolean checks with minimal low-level noise.,"Control flow is linear, no goto noise, early exits and break are easy to follow.","Single main is coherent C, but data representation and allocation naming look recovered.","Readable outline, recovered-variable artifacts reduce clarity.",source-readability-1-to-5-v1,50a6c5325e59e104026fe76dceaec0fb320d30d303d5e16f389ab7a1125f0473,2026-08-03T11:06:55.291298+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
